,物件名,エリア,最寄り駅,築年数,階数,URL
35,サンハイツかどや,室蘭市知利別町１丁目,バス 東通り 徒歩3分,46,5階建,https://www.chintaistyle.jp/result/detail_201018921154.html?jis=01205
36,クローバーハイツⅠ号棟,室蘭市増市町１丁目,バス 桜丘 徒歩2分,21,2階建,https://www.chintaistyle.jp/result/detail_201018920522.html?jis=01205
37,ＴＵＲＦⅡ,室蘭市本輪西町３丁目,室蘭本線 本輪西駅/徒歩10分,21,2階建,https://www.chintaistyle.jp/result/detail_201018771572.html?jis=01205
38,ハイムハピネス,室蘭市港南町１丁目,バス 楢崎造船前 徒歩2分,20,3階建,https://www.chintaistyle.jp/result/detail_201018911998.html?jis=01205
39,宮崎ハイツ,室蘭市高砂町５丁目,バス 工業大学前 徒歩1分,41,3階建,https://www.chintaistyle.jp/result/detail_201018771313.html?jis=01205
40,プラザマンション水元,室蘭市水元町,バス 水元団地中央 徒歩1分,33,3階建,https://www.chintaistyle.jp/result/detail_201018988689.html?jis=01205
41,プランタン０４,室蘭市本輪西町２丁目,室蘭本線 本輪西駅/徒歩3分,19,2階建,https://www.chintaistyle.jp/result/detail_201018771568.html?jis=01205
42,メゾン・アンソレイユ,室蘭市高砂町３丁目,室蘭本線 鷲別駅/徒歩16分,17,2階建,https://www.chintaistyle.jp/result/detail_201018771016.html?jis=01205
43,エコヒルズＢ,室蘭市高砂町５丁目,ＪＲ室蘭本線 鷲別 徒歩25分,15,2階建,https://www.chintaistyle.jp/result/detail_201018918460.html?jis=01205
44,サン・フェリーチェ,室蘭市水元町,--,11,2階建,https://www.chintaistyle.jp/result/detail_201018662239.html?jis=01205
45,レオパレス三田Ａ館,室蘭市母恋南町３丁目,室蘭本線 母恋駅/バス 5分/南町４丁目 徒歩1分,16,2階建,https://www.chintaistyle.jp/result/detail_201018983277.html?jis=01205
46,レオパレス室工,室蘭市水元町,室蘭本線 東室蘭駅/バス 27分/水元団地中央 徒歩3分,14,2階建,https://www.chintaistyle.jp/result/detail_201018966443.html?jis=01205
47,レオパレス三田Ｂ館,室蘭市母恋南町３丁目,室蘭本線 母恋駅/バス 5分/南町４丁目 徒歩1分,16,2階建,https://www.chintaistyle.jp/result/detail_201018574059.html?jis=01205
48,ＫＴハイツ,室蘭市沢町,室蘭本線 室蘭駅/徒歩25分,47,5階建,https://www.chintaistyle.jp/result/detail_201017828470.html?jis=01205
49,レオパレスイタンキ浜,室蘭市東町３丁目,室蘭本線 東室蘭駅/バス 5分/東町５丁目 徒歩6分,14,2階建,https://www.chintaistyle.jp/result/detail_201019061045.html?jis=01205
50,レオパレスＶＩＶＡⅡ,室蘭市日の出町２丁目,室蘭本線 鷲別駅/徒歩14分,15,2階建,https://www.chintaistyle.jp/result/detail_201018966440.html?jis=01205
51,ＬＡＵＬＥ’Ａ,室蘭市高砂町５丁目,室蘭本線 鷲別駅/徒歩19分,13,2階建,https://www.chintaistyle.jp/result/detail_201018771452.html?jis=01205
52,サン・フェリーチェ,室蘭市水元町,--,11,2階建,https://www.chintaistyle.jp/result/detail_201018662239.html?jis=01205
53,ハイツエムケー３,室蘭市新富町１丁目,室蘭本線 母恋駅/徒歩6分,31,2階建,https://www.chintaistyle.jp/result/detail_201018920867.html?jis=01205
54,エル・フォーチュナー,室蘭市高砂町４丁目,室蘭本線 鷲別駅/徒歩19分,10,2階建,https://www.chintaistyle.jp/result/detail_201018111787.html?jis=01205
55,港南アパートメント,室蘭市港南町１丁目,--,51,3階建,https://www.chintaistyle.jp/result/detail_201018696819.html?jis=01205
56,メゾンラムール,室蘭市輪西町２丁目,室蘭本線 輪西駅/徒歩9分,24,2階建,https://www.chintaistyle.jp/result/detail_201018771580.html?jis=01205
57,ラプラセ・ドゥ,室蘭市輪西町１丁目,室蘭本線 輪西駅/徒歩4分,17,3階建,https://www.chintaistyle.jp/result/detail_201018771152.html?jis=01205
58,マリンハイツＫ,室蘭市築地町,バス 港南町 徒歩3分,21,2階建,https://www.chintaistyle.jp/result/detail_201018988686.html?jis=01205
59,ブルーラグーン,室蘭市輪西町１丁目,室蘭本線 輪西駅/徒歩3分,15,2階建,https://www.chintaistyle.jp/result/detail_201018874307.html?jis=01205
60,メゾン８番館,室蘭市中島町１丁目,室蘭本線 東室蘭駅/徒歩18分,27,2階建,https://www.chintaistyle.jp/result/detail_201018771487.html?jis=01205
61,パルム宮の森,室蘭市宮の森町３丁目,室蘭本線 鷲別駅/徒歩15分,15,2階建,https://www.chintaistyle.jp/result/detail_201018921002.html?jis=01205
62,港南アパートメント,室蘭市港南町１丁目,--,51,3階建,https://www.chintaistyle.jp/result/detail_201018696819.html?jis=01205
63,プラザマンション中島,室蘭市中島町１丁目,室蘭本線 東室蘭駅/徒歩17分,31,3階建,https://www.chintaistyle.jp/result/detail_201018901371.html?jis=01205
64,クローバーハイツⅡ号棟,室蘭市増市町１丁目,バス 増市通 徒歩2分,20,2階建,https://www.chintaistyle.jp/result/detail_201018920521.html?jis=01205
65,コーポハーバー,室蘭市御崎町２丁目,室蘭本線 御崎駅/徒歩1分,22,3階建,https://www.chintaistyle.jp/result/detail_201018920784.html?jis=01205
66,楽山荘,室蘭市宮の森町３丁目,ＪＲ室蘭本線 東室蘭 徒歩15分,50,2階建,https://www.chintaistyle.jp/result/detail_201017798650.html?jis=01205
67,エルパティオ,室蘭市東町２丁目,室蘭本線 東室蘭駅/徒歩4分,23,3階建,https://www.chintaistyle.jp/result/detail_201018920766.html?jis=01205
68,楽山荘,室蘭市宮の森町３丁目,ＪＲ室蘭本線 東室蘭 徒歩15分,50,2階建,https://www.chintaistyle.jp/result/detail_201017798650.html?jis=01205
69,プレミアム中島,室蘭市中島町４丁目,室蘭本線 東室蘭駅/徒歩11分,7,2階建,https://www.chintaistyle.jp/result/detail_201018901355.html?jis=01205
70,リアンハイム天神,室蘭市天神町,バス 清滝不動尊前 徒歩3分,3,3階建,https://www.chintaistyle.jp/result/detail_201018849505.html?jis=01205
71,メゾンドＺＥＡＬ１,室蘭市港北町２丁目,室蘭本線 本輪西駅/徒歩10分,9,2階建,https://www.chintaistyle.jp/result/detail_201018771421.html?jis=01205
72,ラグジュアリースペース,室蘭市幕西町,室蘭本線 室蘭駅/徒歩13分,19,3階建,https://www.chintaistyle.jp/result/detail_201018790176.html?jis=01205
73,ラ・フォーレ,室蘭市日の出町３丁目,バス 日の出町１丁目 徒歩3分,18,2階建,https://www.chintaistyle.jp/result/detail_201018771080.html?jis=01205
74,母恋グランドハイツ,室蘭市母恋北町１丁目,室蘭本線 母恋駅/徒歩7分,22,3階建,https://www.chintaistyle.jp/result/detail_201018771082.html?jis=01205
75,グランドハイムぽちたま２１,室蘭市八丁平５丁目,バス 南公園 徒歩2分,21,2階建,https://www.chintaistyle.jp/result/detail_201018921012.html?jis=01205
76,ビラ・ウエストタワー,室蘭市日の出町２丁目,室蘭本線 鷲別駅/徒歩10分,22,7階建,https://www.chintaistyle.jp/result/detail_201018449007.html?jis=01205
77,レオパレス三田,室蘭市母恋南町５丁目,ＪＲ室蘭本線 母恋 徒歩16分,19,2階建,https://www.chintaistyle.jp/result/detail_201014298976.html?jis=01205
78,サンヴェール中央,室蘭市中央町３丁目,室蘭本線 室蘭駅/徒歩5分,14,8階建,https://www.chintaistyle.jp/result/detail_201019061048.html?jis=01205
79,キャメルハウス,室蘭市高砂町１丁目,室蘭本線 鷲別駅/徒歩7分,18,3階建,https://www.chintaistyle.jp/result/detail_201018849504.html?jis=01205
80,Ａ　ＧＡＲＤＥＮ,室蘭市東町１丁目,室蘭本線 東室蘭駅/徒歩9分,12,2階建,https://www.chintaistyle.jp/result/detail_201018790177.html?jis=01205
81,サンヴェール中島,室蘭市中島町２丁目,室蘭本線 東室蘭駅/徒歩8分,28,10階建,https://www.chintaistyle.jp/result/detail_201019044619.html?jis=01205
82,室蘭市知利別町４丁目 2階建 築3年,室蘭市知利別町４丁目,室蘭本線 鷲別駅/徒歩21分,3,2階建,https://www.chintaistyle.jp/result/detail_201018883178.html?jis=01205
83,レオパレス三田,室蘭市母恋南町５丁目,ＪＲ室蘭本線 母恋 徒歩16分,19,2階建,https://www.chintaistyle.jp/result/detail_201014298976.html?jis=01205
84,はやぶさハイツ,室蘭市高砂町５丁目,バス 高砂５丁目 徒歩2分,28,2階建,https://www.chintaistyle.jp/result/detail_201018718031.html?jis=01205
85,ハイツとまと,室蘭市高砂町５丁目,バス 高砂町５丁目 徒歩3分,36,2階建,https://www.chintaistyle.jp/result/detail_201019038327.html?jis=01205
86,メゾン・ホワイトＡ－２,室蘭市高砂町３丁目,室蘭本線 鷲別駅/徒歩14分,35,2階建,https://www.chintaistyle.jp/result/detail_201017430626.html?jis=01205
87,オークヴィラ,室蘭市水元町,バス ろう学校前 徒歩3分,16,3階建,https://www.chintaistyle.jp/result/detail_201018437037.html?jis=01205
88,レオパレスアルト中島,室蘭市中島町２丁目,ＪＲ室蘭本線 東室蘭 徒歩10分,15,2階建,https://www.chintaistyle.jp/result/detail_201019067094.html?jis=01205
89,ＲＥＬＩＥＦ,室蘭市西小路町,バス 港の文学館前 徒歩5分,41,2階建,https://www.chintaistyle.jp/result/detail_201018771332.html?jis=01205
90,パルミエールたんぽぽ,室蘭市水元町,バス 工大研究所前 徒歩3分,25,2階建,https://www.chintaistyle.jp/result/detail_201018771534.html?jis=01205
91,曙ハイツ,室蘭市日の出町１丁目,室蘭本線 東室蘭駅/徒歩16分,47,2階建,https://www.chintaistyle.jp/result/detail_201018771078.html?jis=01205
92,本町サンハイツ,室蘭市本町２丁目,室蘭本線 室蘭駅/徒歩9分,32,2階建,https://www.chintaistyle.jp/result/detail_201018763155.html?jis=01205
93,アーク,室蘭市高砂町２丁目,室蘭本線 鷲別駅/徒歩14分,29,3階建,https://www.chintaistyle.jp/result/detail_201018763140.html?jis=01205
94,レオパレスアルト中島,室蘭市中島町２丁目,ＪＲ室蘭本線 東室蘭 徒歩10分,15,2階建,https://www.chintaistyle.jp/result/detail_201019067094.html?jis=01205
95,アンデルセン２号館,室蘭市港北町１丁目,室蘭本線 本輪西駅/徒歩8分,27,2階建,https://www.chintaistyle.jp/result/detail_201018945192.html?jis=01205
96,フレンドコート,室蘭市高砂町５丁目,室蘭本線 鷲別駅/徒歩20分,22,2階建,https://www.chintaistyle.jp/result/detail_201018771476.html?jis=01205
97,エル・パームコート,室蘭市高砂町５丁目,バス 工業大学前 徒歩5分,11,2階建,https://www.chintaistyle.jp/result/detail_201018111773.html?jis=01205
98,ＣＡＳＡＢＥＡＲＥ,室蘭市輪西町１丁目,室蘭本線 輪西駅/徒歩4分,34,3階建,https://www.chintaistyle.jp/result/detail_201018771374.html?jis=01205
99,ハイツミクミン,室蘭市高砂町４丁目,ＪＲ室蘭本線 鷲別 徒歩16分,23,2階建,https://www.chintaistyle.jp/result/detail_201018755404.html?jis=01205
100,コーポアイリス,室蘭市新富町１丁目,室蘭本線 母恋駅/徒歩8分,22,2階建,https://www.chintaistyle.jp/result/detail_201018920468.html?jis=01205
101,コーポオアシス,室蘭市港南町１丁目,バス 楢崎造船前 徒歩3分,17,2階建,https://www.chintaistyle.jp/result/detail_201018920431.html?jis=01205
102,第２パルコビル,室蘭市中島町１丁目,室蘭本線 東室蘭駅/徒歩13分,40,3階建,https://www.chintaistyle.jp/result/detail_201018771326.html?jis=01205
103,クレールメゾン,室蘭市日の出町１丁目,室蘭本線 東室蘭駅/徒歩14分,29,2階建,https://www.chintaistyle.jp/result/detail_201019038328.html?jis=01205
104,ハイツミクミン,室蘭市高砂町４丁目,ＪＲ室蘭本線 鷲別 徒歩16分,23,2階建,https://www.chintaistyle.jp/result/detail_201018755404.html?jis=01205
105,モルエランウィンズＡ,室蘭市八丁平１丁目,室蘭本線 東室蘭駅/バス 11分/南公園前 徒歩1分,16,2階建,https://www.chintaistyle.jp/result/detail_201018813311.html?jis=01205
106,ディアコート,室蘭市日の出町２丁目,室蘭本線 鷲別駅/徒歩17分,16,2階建,https://www.chintaistyle.jp/result/detail_201018763145.html?jis=01205
107,ディアコートⅡ,室蘭市高砂町５丁目,バス 高砂５丁目 徒歩2分,14,2階建,https://www.chintaistyle.jp/result/detail_201018763150.html?jis=01205
108,パークハイツ,室蘭市東町５丁目,バス 東町５丁目 徒歩2分,31,2階建,https://www.chintaistyle.jp/result/detail_201018920506.html?jis=01205
109,プレジュール・えとも,室蘭市絵鞆町２丁目,バス 絵鞆団地 徒歩1分,18,2階建,https://www.chintaistyle.jp/result/detail_201018920428.html?jis=01205
110,マンショングロット,室蘭市宮の森町１丁目,ＪＲ室蘭本線 東室蘭 徒歩14分,24,2階建,https://www.chintaistyle.jp/result/detail_201018730974.html?jis=01205
111,マンショングロット,室蘭市宮の森町１丁目,ＪＲ室蘭本線 東室蘭 徒歩14分,24,2階建,https://www.chintaistyle.jp/result/detail_201018730974.html?jis=01205
112,北拓ハイツ高砂,室蘭市高砂町１丁目,室蘭本線 鷲別駅/徒歩4分,29,4階建,https://www.chintaistyle.jp/result/detail_201018911999.html?jis=01205
113,ジオグラフィ,室蘭市知利別町１丁目,室蘭本線 東室蘭駅/徒歩14分,12,2階建,https://www.chintaistyle.jp/result/detail_201018813294.html?jis=01205
114,ベルシーヌ祝津,室蘭市祝津町２丁目,バス 函館どっく前 徒歩2分,16,2階建,https://www.chintaistyle.jp/result/detail_201018920465.html?jis=01205
115,ヴァンベール中島２,室蘭市中島町４丁目,室蘭本線 東室蘭駅/徒歩10分,11,2階建,https://www.chintaistyle.jp/result/detail_201019021289.html?jis=01205
116,プレイス本所,室蘭市寿町２丁目,室蘭本線 東室蘭駅/徒歩10分,21,3階建,https://www.chintaistyle.jp/result/detail_201018945202.html?jis=01205
117,プレステージ,室蘭市山手町１丁目,室蘭本線 室蘭駅/徒歩10分,20,2階建,https://www.chintaistyle.jp/result/detail_201018771148.html?jis=01205
118,ハイツ宮下,室蘭市高砂町１丁目,室蘭本線 鷲別駅/徒歩8分,22,2階建,https://www.chintaistyle.jp/result/detail_201018771004.html?jis=01205
119,コーポあじさい,室蘭市山手町２丁目,室蘭本線 室蘭駅/徒歩12分,49,3階建,https://www.chintaistyle.jp/result/detail_201018921193.html?jis=01205
120,シティハイムロゼオ,室蘭市高砂町４丁目,バス 文化学園大学付属 徒歩3分,23,2階建,https://www.chintaistyle.jp/result/detail_201018920483.html?jis=01205
121,母恋南町サンハイツ,室蘭市母恋南町３丁目,ＪＲ室蘭本線 母恋 徒歩16分,31,2階建,https://www.chintaistyle.jp/result/detail_201014410047.html?jis=01205
122,ハイツタイキ,室蘭市寿町１丁目,室蘭本線 東室蘭駅/徒歩6分,30,2階建,https://www.chintaistyle.jp/result/detail_201018920448.html?jis=01205
123,ジュネスＡ,室蘭市中島町４丁目,室蘭本線 東室蘭駅/徒歩11分,14,2階建,https://www.chintaistyle.jp/result/detail_201018771066.html?jis=01205
124,ハイツメモリーＡ,室蘭市水元町,バス ろう学校前 徒歩4分,35,3階建,https://www.chintaistyle.jp/result/detail_201018920568.html?jis=01205
125,ゴールデンハイツＡ,室蘭市水元町,バス ろう学校前 徒歩4分,36,3階建,https://www.chintaistyle.jp/result/detail_201018936574.html?jis=01205
126,ハイツキャロット,室蘭市水元町,バス ろう学校前 徒歩1分,28,2階建,https://www.chintaistyle.jp/result/detail_201018920966.html?jis=01205
127,コーポ室本,室蘭市水元町,バス 工大研修所前 徒歩4分,31,3階建,https://www.chintaistyle.jp/result/detail_201018920542.html?jis=01205
128,はまだ荘,室蘭市水元町,室蘭本線 鷲別駅/徒歩44分,18,2階建,https://www.chintaistyle.jp/result/detail_201018311226.html?jis=01205
129,ハイツもず,室蘭市高砂町３丁目,室蘭本線 鷲別駅/徒歩13分,34,2階建,https://www.chintaistyle.jp/result/detail_201018698691.html?jis=01205
130,キャメルハウスⅢ,室蘭市高砂町２丁目,室蘭本線 鷲別駅/徒歩8分,30,2階建,https://www.chintaistyle.jp/result/detail_201018920478.html?jis=01205
131,母恋南町サンハイツ,室蘭市母恋南町３丁目,ＪＲ室蘭本線 母恋 徒歩16分,31,2階建,https://www.chintaistyle.jp/result/detail_201014410047.html?jis=01205
132,ハイツ　ドルチェ,室蘭市水元町,--,12,2階建,https://www.chintaistyle.jp/result/detail_201018662397.html?jis=01205
133,アヴェニュースクエア水元,室蘭市水元町,バス 変電所前 徒歩2分,34,2階建,https://www.chintaistyle.jp/result/detail_201018705104.html?jis=01205
134,コスモスコーポ,室蘭市輪西町２丁目,室蘭本線 輪西駅/徒歩11分,32,2階建,https://www.chintaistyle.jp/result/detail_201018921006.html?jis=01205
135,真島アパート,室蘭市清水町２丁目,室蘭本線 室蘭駅/徒歩16分,48,2階建,https://www.chintaistyle.jp/result/detail_201018920865.html?jis=01205
136,ＪＵＮＯ’Ｓ,室蘭市高砂町４丁目,室蘭本線 鷲別駅/徒歩17分,26,2階建,https://www.chintaistyle.jp/result/detail_201018920487.html?jis=01205
137,ドゥーエ・ドルチェ,室蘭市水元町,バス 工大研修所前 徒歩4分,9,2階建,https://www.chintaistyle.jp/result/detail_201018920589.html?jis=01205
138,ハイツ　ドルチェ,室蘭市水元町,--,12,2階建,https://www.chintaistyle.jp/result/detail_201018662397.html?jis=01205
139,レオパレスＨＩＲＯＫＩ,室蘭市輪西町３丁目,室蘭本線 東室蘭駅/徒歩16分,15,2階建,https://www.chintaistyle.jp/result/detail_201019069315.html?jis=01205
140,トーコーハイツ,室蘭市高砂町２丁目,室蘭本線 鷲別駅/徒歩13分,46,2階建,https://www.chintaistyle.jp/result/detail_201018920873.html?jis=01205
141,ピュアＷＥＳＴⅡ,室蘭市本輪西町１丁目,室蘭本線 本輪西駅/徒歩7分,24,2階建,https://www.chintaistyle.jp/result/detail_201018771141.html?jis=01205
142,Ｍハイツ３,室蘭市水元町,バス 工大研修所前 徒歩2分,27,2階建,https://www.chintaistyle.jp/result/detail_201018771537.html?jis=01205
143,ＳＳコート,室蘭市宮の森町４丁目,ＪＲ室蘭本線 東室蘭 徒歩7分,30,2階建,https://www.chintaistyle.jp/result/detail_201018662245.html?jis=01205
144,ブロッサム３７８,室蘭市知利別町３丁目,バス 知利別郵便局 徒歩3分,28,2階建,https://www.chintaistyle.jp/result/detail_201018862882.html?jis=01205
145,ＳＳコート,室蘭市宮の森町４丁目,ＪＲ室蘭本線 東室蘭 徒歩7分,30,2階建,https://www.chintaistyle.jp/result/detail_201018662245.html?jis=01205
146,ハイツ清水丘,室蘭市増市町１丁目,バス 増市通 徒歩1分,25,2階建,https://www.chintaistyle.jp/result/detail_201018920519.html?jis=01205
147,クローバーコート,室蘭市東町５丁目,室蘭本線 東室蘭駅/徒歩18分,28,2階建,https://www.chintaistyle.jp/result/detail_201018920906.html?jis=01205
148,ＰＯＰＯＬＡＲＥ,室蘭市母恋北町２丁目,室蘭本線 母恋駅/徒歩7分,49,2階建,https://www.chintaistyle.jp/result/detail_201018771086.html?jis=01205
149,ＯＲＩＺＺＯＮＴＥ,室蘭市高砂町５丁目,バス 高砂５丁目 徒歩1分,13,2階建,https://www.chintaistyle.jp/result/detail_201018771477.html?jis=01205
150,ル・ソレイユ,室蘭市高砂町５丁目,バス 高砂５丁目 徒歩3分,12,2階建,https://www.chintaistyle.jp/result/detail_201018771048.html?jis=01205
151,ＢＬＵＥウエスト,室蘭市絵鞆町２丁目,バス 絵鞆２丁目 徒歩1分,19,2階建,https://www.chintaistyle.jp/result/detail_201018920424.html?jis=01205
152,ハイツ夕陽ヶ丘,室蘭市絵鞆町２丁目,バス 絵鞆団地 徒歩2分,19,2階建,https://www.chintaistyle.jp/result/detail_201018920828.html?jis=01205
153,グランバリエ,室蘭市本輪西町３丁目,室蘭本線 本輪西駅/徒歩7分,14,2階建,https://www.chintaistyle.jp/result/detail_201018920602.html?jis=01205
154,みさきアパートＢ,室蘭市御崎町２丁目,ＪＲ室蘭本線 御崎 徒歩5分,23,2階建,https://www.chintaistyle.jp/result/detail_201018662417.html?jis=01205
155,仙石マンション,室蘭市東町２丁目,室蘭本線 東室蘭駅/徒歩4分,42,3階建,https://www.chintaistyle.jp/result/detail_201018771333.html?jis=01205
156,室蘭東町第一住宅,室蘭市東町４丁目,室蘭本線 東室蘭駅/徒歩14分,44,6階建,https://www.chintaistyle.jp/result/detail_201018920770.html?jis=01205
157,チェリーハイツ（道路側）,室蘭市母恋南町１丁目,室蘭本線 母恋駅/徒歩7分,26,2階建,https://www.chintaistyle.jp/result/detail_201018920514.html?jis=01205
158,コーポ北栄,室蘭市母恋北町２丁目,室蘭本線 母恋駅/徒歩5分,29,3階建,https://www.chintaistyle.jp/result/detail_201018920782.html?jis=01205
159,ＲＥＳＩＤＥＮＣＥ　ＳＡＫＵＲＡ,室蘭市高砂町５丁目,バス 高砂５丁目 徒歩1分,7,2階建,https://www.chintaistyle.jp/result/detail_201018840162.html?jis=01205
160,ヴィラ中島本町,室蘭市中島本町３丁目,バス 室蘭製鉄記念病院前 徒歩7分,20,2階建,https://www.chintaistyle.jp/result/detail_201018771492.html?jis=01205
161,ポートアベニュー,室蘭市港南町１丁目,バス 楢崎造船前 徒歩1分,18,2階建,https://www.chintaistyle.jp/result/detail_201018920837.html?jis=01205
162,みさきアパートＢ,室蘭市御崎町２丁目,ＪＲ室蘭本線 御崎 徒歩5分,23,2階建,https://www.chintaistyle.jp/result/detail_201018662417.html?jis=01205
163,アスターＭ,室蘭市小橋内町１丁目,バス 小橋内 徒歩8分,17,2階建,https://www.chintaistyle.jp/result/detail_201017315008.html?jis=01205
